id,title,date,source,topics,summary,url,external_link
1,Multi-Agent GraphRAG: A Text-to-Cypher Framework for Labeled Property Graphs,2025-11-11,arXiv,GraphRAG; multi-agent; text-to-Cypher; labeled property graph; Memgraph,"A modular agentic GraphRAG system that turns natural language into Cypher queries over labeled property graphs. It uses iterative correction and feedback to improve generated graph queries, with demonstrations on CypherBench and an IFC building digital twin.",https://arxiv.org/abs/2511.08274,https://arxiv.org/abs/2511.08274
2,Towards Open-World Retrieval-Augmented Generation on Knowledge Graph: A Multi-Agent Collaboration Framework,2025-09-01,arXiv,AnchorRAG; knowledge graph; open-world retrieval; multi-agent; multi-hop,"Introduces AnchorRAG, where agents infer possible anchor entities and explore knowledge graph paths in parallel. The design improves robustness when entity linking is uncertain or ambiguous.",https://arxiv.org/abs/2509.01238,https://arxiv.org/abs/2509.01238
3,MAO-ARAG: Multi-Agent Orchestration for Adaptive Retrieval-Augmented Generation,2025-08-01,arXiv,adaptive RAG; multi-agent orchestration; planner; reinforcement learning; cost control,"Uses a planner agent to dynamically select query reformulation, document selection, and generation agents for each query. Reinforcement learning balances answer quality against latency and cost.",https://arxiv.org/abs/2508.01005,https://arxiv.org/abs/2508.01005
4,GraphRAG-R1: Graph Retrieval-Augmented Generation with Process-Constrained Reinforcement Learning,2025-07-31,arXiv,GraphRAG; reinforcement learning; multi-hop reasoning; hybrid graph-text retrieval; cost-aware rewards,Trains GraphRAG workflows to retrieve and reason adaptively instead of following fixed heuristics. Process rewards encourage useful retrieval while penalizing shallow retrieval and excessive reasoning cost.,https://arxiv.org/abs/2507.23581,https://arxiv.org/abs/2507.23581
5,CIIR@LiveRAG 2025: Optimizing Multi-Agent Retrieval Augmented Generation through Self-Training,2025-06-12,arXiv,multi-agent RAG; self-training; planning; searching; reasoning; coordination,"Presents mRAG, a specialized-agent framework optimized with reward-guided trajectory sampling. It was evaluated in the SIGIR 2025 LiveRAG competition setting for complex real-world retrieval tasks.",https://arxiv.org/abs/2506.10844,https://arxiv.org/abs/2506.10844
6,"Retrieval-Augmented Generation: A Comprehensive Survey of Architectures, Enhancements, and Robustness Frontiers",2025-05-28,arXiv,RAG survey; architecture taxonomy; robustness; evaluation; hybrid retrieval,"Surveys retriever-centric, generator-centric, hybrid, and robustness-oriented RAG architectures. It highlights open challenges around adaptive retrieval, grounding, efficiency, and privacy-preserving retrieval.",https://arxiv.org/abs/2506.00054,https://arxiv.org/abs/2506.00054
7,MA-RAG: Multi-Agent Retrieval-Augmented Generation via Collaborative Chain-of-Thought Reasoning,2025-05-26,arXiv,multi-agent RAG; planner; extractor; QA agent; ambiguous QA; multi-hop,"Orchestrates planner, step definer, extractor, and QA agents to decompose ambiguous information needs. The method improves multi-hop and ambiguous QA without domain-specific fine-tuning.",https://arxiv.org/abs/2505.20096,https://arxiv.org/abs/2505.20096
8,Accelerating Adaptive Retrieval Augmented Generation via Instruction-Driven Representation Reduction of Retrieval Overlaps,2025-05-19,arXiv,adaptive RAG; efficiency; cache reuse; overlapping retrieval; parallel generation,"Speeds up iterative adaptive RAG by avoiding repeated representation of overlapping retrieved content. Combines cache access, parallel generation, and instruction guidance while preserving output quality.",https://arxiv.org/abs/2505.12731,https://arxiv.org/abs/2505.12731
9,Enhancing Cache-Augmented Generation (CAG) with Adaptive Contextual Compression for Scalable Knowledge Integration,2025-05-13,arXiv,CAG; adaptive contextual compression; hybrid CAG-RAG; scalability; multi-hop,Extends CAG with adaptive contextual compression and selective retrieval. The paper positions hybrid CAG-RAG as a practical way to reduce latency while handling knowledge that is too large or dynamic for pure caching.,https://arxiv.org/abs/2505.08261,https://arxiv.org/abs/2505.08261
10,HyperRAG: Enhancing Quality-Efficiency Tradeoffs in Retrieval-Augmented Generation with Reranker KV-Cache Reuse,2025-04-03,arXiv,RAG efficiency; reranking; KV-cache reuse; throughput; latency,Optimizes RAG service throughput by reusing document-side KV cache in decoder-only rerankers. It targets the quality gains of reranking without paying the full inference cost each time.,https://arxiv.org/abs/2504.02921,https://arxiv.org/abs/2504.02921
11,CoRAG: Collaborative Retrieval-Augmented Generation,2025-04-02,arXiv,collaborative RAG; shared passage store; few-shot learning; federated knowledge,Extends RAG into collaborative settings where clients benefit from a shared passage store. It improves low-resource QA but introduces risks from harmful or irrelevant shared passages.,https://arxiv.org/abs/2504.01883,https://arxiv.org/abs/2504.01883
12,Self-Routing RAG: Binding Selective Retrieval with Knowledge Verbalization,2025-04-01,arXiv,selective retrieval; source routing; parametric knowledge; latency; calibration,"Treats the LLM itself as one selectable knowledge source alongside external stores. It reduces unnecessary retrievals by routing queries through internal knowledge, verbalized knowledge, or external data sources.",https://arxiv.org/abs/2504.01018,https://arxiv.org/abs/2504.01018
13,Beyond RAG: Task-Aware KV Cache Compression for Comprehensive Knowledge Reasoning,2025-03-06,arXiv,KV cache compression; long context; CAG; broad knowledge reasoning; latency,Compresses external knowledge into task-aware KV cache representations for efficient reasoning. It is positioned as better than top-k RAG when useful evidence is broad rather than sparse.,https://arxiv.org/abs/2503.04973,https://arxiv.org/abs/2503.04973
